views,score,name,summary
873180人评价,9.6,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),希望让人自由。
627709人评价,9.5,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,风华绝代。
835120人评价,9.4,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),怪蜀黍和小萝莉不得不说的故事。
711942人评价,9.4,阿甘正传 / Forrest Gump / 福雷斯特·冈普,一部美国近现代史。
415272人评价,9.5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,最美的谎言。
663193人评价,9.2,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,最好的宫崎骏，最好的久石让。 
382872人评价,9.4,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,拯救一个人，就是拯救整个世界。
654494人评价,9.2,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),失去的才是永恒的。 
763424人评价,9.2,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),诺兰给了我们一场无法盗取的梦。
499187人评价,9.3,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),小瓦力，大人生。
599620人评价,9.2,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
674364人评价,9.1,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。
455566人评价,9.2,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),永远都不能忘记你所爱的人。
452751人评价,9.2,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,天籁一般的童声，是最接近上帝的存在。 
488554人评价,9.2,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,一生所爱。
418679人评价,9.1,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,人人心中都有个龙猫，童年就永远不会消失。
343904人评价,9.2,教父 / The Godfather / Mario Puzo's The Godfather,千万不要记恨你的对手，这样会让你失去理智。
454540人评价,9.1,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,如果再也不能见到你，祝你早安，午安，晚安。
271512人评价,9.2,乱世佳人 / Gone with the Wind / 飘,Tomorrow is another day.
309777人评价,9.1,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
366200人评价,9.1,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),满满温情的高雅喜剧。
538945人评价,8.9,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,平民励志片。 
252083人评价,9.2,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
398965人评价,9.0,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,香港电影史上永不过时的杰作。
404343人评价,9.0,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
views,score,name,rank,summary
873180人评价,9.6,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),1,希望让人自由。
627709人评价,9.5,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,2,风华绝代。
835120人评价,9.4,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),3,怪蜀黍和小萝莉不得不说的故事。
711942人评价,9.4,阿甘正传 / Forrest Gump / 福雷斯特·冈普,4,一部美国近现代史。
415272人评价,9.5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,5,最美的谎言。
663193人评价,9.2,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,6,最好的宫崎骏，最好的久石让。 
382872人评价,9.4,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,7,拯救一个人，就是拯救整个世界。
654494人评价,9.2,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),8,失去的才是永恒的。 
763424人评价,9.2,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),9,诺兰给了我们一场无法盗取的梦。
499187人评价,9.3,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),10,小瓦力，大人生。
599620人评价,9.2,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,11,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
674364人评价,9.1,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),12,英俊版憨豆，高情商版谢耳朵。
455566人评价,9.2,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),13,永远都不能忘记你所爱的人。
452751人评价,9.2,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,14,天籁一般的童声，是最接近上帝的存在。 
488554人评价,9.2,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,15,一生所爱。
418679人评价,9.1,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,16,人人心中都有个龙猫，童年就永远不会消失。
343904人评价,9.2,教父 / The Godfather / Mario Puzo's The Godfather,17,千万不要记恨你的对手，这样会让你失去理智。
454540人评价,9.1,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,18,如果再也不能见到你，祝你早安，午安，晚安。
271512人评价,9.2,乱世佳人 / Gone with the Wind / 飘,19,Tomorrow is another day.
309777人评价,9.1,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),20,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
366200人评价,9.1,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),21,满满温情的高雅喜剧。
538945人评价,8.9,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,22,平民励志片。 
252170人评价,9.2,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,23,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
398965人评价,9.0,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,24,香港电影史上永不过时的杰作。
